condition_id,condition,precautions,severity
263,Septic Arthritis,Septic Arthritis: Ensure adequate rest and hydration; monitor symptom progression. (tip #263),Severe
264,Panic Disorder,Panic Disorder: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #264),Moderate
265,Insomnia,Insomnia: Maintain a balanced diet; avoid known triggers and allergens. (tip #265),Moderate
266,Appendicitis,Appendicitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #266),Moderate
267,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #267),Mild
268,Tendonitis,Tendonitis: Keep follow-up appointments and report new or worsening symptoms. (tip #268),Severe
269,Kidney Stones,Kidney Stones: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #269),Severe
270,Kidney Stones,Kidney Stones: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #270),Severe
271,Angina,"Angina: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #271)",Moderate
272,Lyme Disease,Lyme Disease: Maintain a balanced diet; avoid known triggers and allergens. (tip #272),Mild
273,Otitis Externa,Otitis Externa: Keep follow-up appointments and report new or worsening symptoms. (tip #273),Mild
274,Pharyngitis,Pharyngitis: Avoid alcohol and smoking; adhere to medication schedule. (tip #274),Severe
275,Food Poisoning,Food Poisoning: Maintain a balanced diet; avoid known triggers and allergens. (tip #275),Severe
276,Fibromyalgia,Fibromyalgia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #276),Moderate
277,Sepsis,Sepsis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #277),Mild
278,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #278),Moderate
279,Mononucleosis,Mononucleosis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #279),Mild
280,Sinusitis,Sinusitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #280),Mild
281,Hyperglycemia,"Hyperglycemia: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #281)",Mild
282,Shingles,Shingles: Maintain a balanced diet; avoid known triggers and allergens. (tip #282),Moderate
283,Yeast Infection,Yeast Infection: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #283),Severe
284,Pancreatitis,Pancreatitis: Keep follow-up appointments and report new or worsening symptoms. (tip #284),Severe
285,Malaria,Malaria: Maintain a balanced diet; avoid known triggers and allergens. (tip #285),Severe
286,Bronchiectasis,Bronchiectasis: Maintain a balanced diet; avoid known triggers and allergens. (tip #286),Mild
287,Sinus Headache,Sinus Headache: Maintain a balanced diet; avoid known triggers and allergens. (tip #287),Mild
288,Urinary Incontinence,Urinary Incontinence: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #288),Mild
289,Encephalitis,Encephalitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #289),Moderate
290,Heart Attack,Heart Attack: Keep follow-up appointments and report new or worsening symptoms. (tip #290),Moderate
291,Hypoglycemia,Hypoglycemia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #291),Mild
292,Septic Arthritis,Septic Arthritis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #292),Moderate
293,Gallstones,Gallstones: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #293),Moderate
294,Gastroenteritis,Gastroenteritis: Ensure adequate rest and hydration; monitor symptom progression. (tip #294),Moderate
295,Bronchiectasis,Bronchiectasis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #295),Severe
296,Encephalitis,"Encephalitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #296)",Severe
297,Eczema,Eczema: Keep follow-up appointments and report new or worsening symptoms. (tip #297),Moderate
298,Hypothyroidism,Hypothyroidism: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #298),Moderate
299,Urinary Incontinence,Urinary Incontinence: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #299),Severe
300,Hypoglycemia,Hypoglycemia: Maintain a balanced diet; avoid known triggers and allergens. (tip #300),Severe
301,Lung Fibrosis,Lung Fibrosis: Maintain a balanced diet; avoid known triggers and allergens. (tip #301),Moderate
302,Appendicitis,Appendicitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #302),Severe
303,Cellulitis,Cellulitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #303),Mild
304,Meningitis,"Meningitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #304)",Mild
305,Insomnia,Insomnia: Avoid alcohol and smoking; adhere to medication schedule. (tip #305),Mild
306,Allergic Reaction,Allergic Reaction: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #306),Mild
307,Bronchitis,Bronchitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #307),Mild
308,Eczema,Eczema: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #308),Moderate
309,Asthma,Asthma: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #309),Severe
310,Bacterial Vaginosis,Bacterial Vaginosis: Maintain a balanced diet; avoid known triggers and allergens. (tip #310),Mild
311,Heart Attack,Heart Attack: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #311),Mild
312,Urinary Tract Infection,Urinary Tract Infection: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #312),Mild
313,Malaria,Malaria: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #313),Severe
314,Cellulitis,Cellulitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #314),Severe
315,Shingles,Shingles: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #315),Mild
316,Hypoglycemia,Hypoglycemia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #316),Moderate
317,Cellulitis,Cellulitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #317),Severe
318,Hepatitis,Hepatitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #318),Mild
319,Meningitis,Meningitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #319),Severe
320,Stress,Stress: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #320),Severe
321,Bacterial Vaginosis,Bacterial Vaginosis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #321),Severe
322,Arthritis,Arthritis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #322),Severe
323,Stress,Stress: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #323),Severe
324,Allergic Reaction,Allergic Reaction: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #324),Moderate
325,Hyperglycemia,Hyperglycemia: Maintain a balanced diet; avoid known triggers and allergens. (tip #325),Severe
326,Dementia,Dementia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #326),Severe
327,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Keep follow-up appointments and report new or worsening symptoms. (tip #327),Moderate
328,Costochondritis,Costochondritis: Avoid alcohol and smoking; adhere to medication schedule. (tip #328),Severe
329,Eczema,Eczema: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #329),Severe
330,Sinusitis,Sinusitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #330),Severe
331,Eczema,Eczema: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #331),Mild
332,Meningitis,Meningitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #332),Moderate
333,Costochondritis,Costochondritis: Keep follow-up appointments and report new or worsening symptoms. (tip #333),Severe
334,Tendonitis,Tendonitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #334),Moderate
335,Conjunctivitis,Conjunctivitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #335),Severe
336,Sepsis,Sepsis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #336),Mild
337,Urinary Incontinence,Urinary Incontinence: Maintain a balanced diet; avoid known triggers and allergens. (tip #337),Severe
338,Kidney Stones,Kidney Stones: Keep follow-up appointments and report new or worsening symptoms. (tip #338),Moderate
339,Shingles,Shingles: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #339),Mild
340,Gallstones,Gallstones: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #340),Moderate
341,Sepsis,Sepsis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #341),Severe
342,Gastroenteritis,Gastroenteritis: Avoid alcohol and smoking; adhere to medication schedule. (tip #342),Moderate
343,Gallstones,Gallstones: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #343),Severe
344,Pharyngitis,Pharyngitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #344),Mild
345,Pneumonia,Pneumonia: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #345),Mild
346,Stroke,Stroke: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #346),Moderate
347,Shingles,Shingles: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #347),Severe
348,Conjunctivitis,Conjunctivitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #348),Mild
349,Shingles,Shingles: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #349),Moderate
350,Stroke,"Stroke: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #350)",Severe
351,Stress,Stress: Keep follow-up appointments and report new or worsening symptoms. (tip #351),Severe
352,Malaria,Malaria: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #352),Severe
353,Pharyngitis,Pharyngitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #353),Severe
354,Sepsis,Sepsis: Ensure adequate rest and hydration; monitor symptom progression. (tip #354),Mild
355,Septic Arthritis,"Septic Arthritis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #355)",Severe
356,Lung Fibrosis,Lung Fibrosis: Ensure adequate rest and hydration; monitor symptom progression. (tip #356),Moderate
357,Appendicitis,Appendicitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #357),Moderate
358,Tendonitis,Tendonitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #358),Moderate
359,Costochondritis,Costochondritis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #359),Mild
360,Dementia,Dementia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #360),Mild
361,Gastroenteritis,Gastroenteritis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #361),Mild
362,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease: Keep follow-up appointments and report new or worsening symptoms. (tip #362),Mild
363,Mononucleosis,Mononucleosis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #363),Severe
364,Asthma,Asthma: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #364),Severe
365,Fibromyalgia,Fibromyalgia: Ensure adequate rest and hydration; monitor symptom progression. (tip #365),Severe
366,Pneumonia,Pneumonia: Ensure adequate rest and hydration; monitor symptom progression. (tip #366),Mild
367,Gallstones,Gallstones: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #367),Moderate
368,Depression,Depression: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #368),Severe
369,Septic Arthritis,Septic Arthritis: Keep follow-up appointments and report new or worsening symptoms. (tip #369),Severe
370,Otitis Externa,Otitis Externa: Avoid alcohol and smoking; adhere to medication schedule. (tip #370),Moderate
371,Pancreatitis,Pancreatitis: Keep follow-up appointments and report new or worsening symptoms. (tip #371),Severe
372,Pharyngitis,Pharyngitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #372),Severe
373,Eczema,Eczema: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #373),Severe
374,Allergic Reaction,Allergic Reaction: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #374),Mild
375,Asthma,Asthma: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #375),Moderate
376,Mononucleosis,Mononucleosis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #376),Mild
377,Anaphylaxis,Anaphylaxis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #377),Severe
378,Diabetes Mellitus,Diabetes Mellitus: Ensure adequate rest and hydration; monitor symptom progression. (tip #378),Severe
379,Hypothyroidism,Hypothyroidism: Avoid alcohol and smoking; adhere to medication schedule. (tip #379),Severe
380,Otitis Media,Otitis Media: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #380),Moderate
381,Bronchiectasis,"Bronchiectasis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #381)",Moderate
382,Gastroenteritis,Gastroenteritis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #382),Moderate
383,Encephalitis,Encephalitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #383),Mild
384,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #384),Mild
385,Encephalitis,Encephalitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #385),Severe
386,Hepatitis,Hepatitis: Avoid alcohol and smoking; adhere to medication schedule. (tip #386),Severe
387,Food Poisoning,Food Poisoning: Keep follow-up appointments and report new or worsening symptoms. (tip #387),Mild
388,Urinary Incontinence,Urinary Incontinence: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #388),Moderate
389,Hyperthyroidism,Hyperthyroidism: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #389),Mild
390,Asthma,Asthma: Maintain a balanced diet; avoid known triggers and allergens. (tip #390),Moderate
391,Tendonitis,Tendonitis: Keep follow-up appointments and report new or worsening symptoms. (tip #391),Severe
392,Panic Disorder,Panic Disorder: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #392),Moderate
393,Sepsis,Sepsis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #393),Severe
394,Gallstones,Gallstones: Maintain a balanced diet; avoid known triggers and allergens. (tip #394),Mild
395,Asthma,"Asthma: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #395)",Severe
396,Heart Attack,Heart Attack: Ensure adequate rest and hydration; monitor symptom progression. (tip #396),Severe
397,Food Poisoning,Food Poisoning: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #397),Mild
398,Lung Fibrosis,Lung Fibrosis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #398),Mild
399,Anaphylaxis,Anaphylaxis: Keep follow-up appointments and report new or worsening symptoms. (tip #399),Severe
400,Allergic Rhinitis,"Allergic Rhinitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #400)",Moderate
401,Migraine,Migraine: Avoid alcohol and smoking; adhere to medication schedule. (tip #401),Severe
402,Insomnia,Insomnia: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #402),Severe
403,Gallstones,Gallstones: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #403),Severe
404,Appendicitis,Appendicitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #404),Severe
405,Otitis Media,Otitis Media: Keep follow-up appointments and report new or worsening symptoms. (tip #405),Severe
406,Urinary Incontinence,Urinary Incontinence: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #406),Moderate
407,Asthma,"Asthma: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #407)",Mild
408,Anxiety Disorder,Anxiety Disorder: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #408),Mild
409,Costochondritis,Costochondritis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #409),Severe
410,Panic Disorder,Panic Disorder: Avoid alcohol and smoking; adhere to medication schedule. (tip #410),Moderate
411,Cellulitis,Cellulitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #411),Severe
412,Hypertension,Hypertension: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #412),Moderate
413,Sinusitis,Sinusitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #413),Severe
414,Bronchitis,Bronchitis: Keep follow-up appointments and report new or worsening symptoms. (tip #414),Mild
415,Pancreatitis,Pancreatitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #415),Moderate
416,Hypothyroidism,Hypothyroidism: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #416),Moderate
417,Heart Attack,Heart Attack: Keep follow-up appointments and report new or worsening symptoms. (tip #417),Mild
418,Bacterial Vaginosis,Bacterial Vaginosis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #418),Mild
419,Otitis Media,Otitis Media: Keep follow-up appointments and report new or worsening symptoms. (tip #419),Severe
420,Anxiety Disorder,Anxiety Disorder: Maintain a balanced diet; avoid known triggers and allergens. (tip #420),Moderate
421,Fibromyalgia,Fibromyalgia: Ensure adequate rest and hydration; monitor symptom progression. (tip #421),Moderate
422,Meningitis,"Meningitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #422)",Mild
423,Rhinitis,Rhinitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #423),Severe
424,Psoriasis,Psoriasis: Ensure adequate rest and hydration; monitor symptom progression. (tip #424),Severe
425,Bacterial Vaginosis,Bacterial Vaginosis: Keep follow-up appointments and report new or worsening symptoms. (tip #425),Severe
426,Bronchiectasis,Bronchiectasis: Keep follow-up appointments and report new or worsening symptoms. (tip #426),Severe
427,Encephalitis,Encephalitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #427),Moderate
428,GERD,GERD: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #428),Moderate
429,Migraine,Migraine: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #429),Mild
430,Conjunctivitis,"Conjunctivitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #430)",Mild
431,Meningitis,Meningitis: Keep follow-up appointments and report new or worsening symptoms. (tip #431),Moderate
432,Dementia,Dementia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #432),Severe
433,Food Poisoning,Food Poisoning: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #433),Severe
434,Hypoglycemia,Hypoglycemia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #434),Severe
435,Psoriasis,Psoriasis: Maintain a balanced diet; avoid known triggers and allergens. (tip #435),Moderate
436,Stroke,Stroke: Maintain a balanced diet; avoid known triggers and allergens. (tip #436),Mild
437,Lyme Disease,Lyme Disease: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #437),Severe
438,Sinusitis,Sinusitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #438),Mild
439,Hyperthyroidism,Hyperthyroidism: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #439),Mild
440,Lyme Disease,"Lyme Disease: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #440)",Moderate
441,Malaria,Malaria: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #441),Mild
442,Meningitis,Meningitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #442),Mild
443,Sinusitis,Sinusitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #443),Moderate
444,Peptic Ulcer Disease,Peptic Ulcer Disease: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #444),Mild
445,Pharyngitis,Pharyngitis: Keep follow-up appointments and report new or worsening symptoms. (tip #445),Severe
446,Bronchitis,"Bronchitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #446)",Severe
447,Lyme Disease,Lyme Disease: Keep follow-up appointments and report new or worsening symptoms. (tip #447),Severe
448,Food Poisoning,Food Poisoning: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #448),Moderate
449,Lyme Disease,Lyme Disease: Ensure adequate rest and hydration; monitor symptom progression. (tip #449),Moderate
450,Insomnia,Insomnia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #450),Mild
451,Pneumonia,Pneumonia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #451),Mild
452,Encephalitis,"Encephalitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #452)",Mild
453,Gallstones,"Gallstones: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #453)",Severe
454,Malaria,Malaria: Maintain a balanced diet; avoid known triggers and allergens. (tip #454),Mild
455,Anxiety Disorder,Anxiety Disorder: Keep follow-up appointments and report new or worsening symptoms. (tip #455),Severe
456,Tuberculosis,Tuberculosis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #456),Severe
457,Angina,Angina: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #457),Mild
458,Otitis Media,Otitis Media: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #458),Moderate
459,Tendonitis,Tendonitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #459),Mild
460,Pancreatitis,"Pancreatitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #460)",Mild
461,Depression,Depression: Maintain a balanced diet; avoid known triggers and allergens. (tip #461),Mild
462,Rhinitis,Rhinitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #462),Severe
463,Tuberculosis,Tuberculosis: Keep follow-up appointments and report new or worsening symptoms. (tip #463),Moderate
464,Dengue Fever,Dengue Fever: Maintain a balanced diet; avoid known triggers and allergens. (tip #464),Severe
465,Tuberculosis,Tuberculosis: Ensure adequate rest and hydration; monitor symptom progression. (tip #465),Mild
466,Allergic Rhinitis,Allergic Rhinitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #466),Moderate
467,Urinary Tract Infection,Urinary Tract Infection: Ensure adequate rest and hydration; monitor symptom progression. (tip #467),Severe
468,Costochondritis,Costochondritis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #468),Moderate
469,Malaria,"Malaria: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #469)",Severe
470,Angina,Angina: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #470),Moderate
471,Arthritis,Arthritis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #471),Mild
472,Eczema,Eczema: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #472),Severe
473,Sinus Headache,Sinus Headache: Keep follow-up appointments and report new or worsening symptoms. (tip #473),Mild
474,Bronchitis,Bronchitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #474),Mild
475,Urinary Tract Infection,Urinary Tract Infection: Maintain a balanced diet; avoid known triggers and allergens. (tip #475),Mild
476,Anxiety Disorder,Anxiety Disorder: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #476),Moderate
477,Anemia,Anemia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #477),Severe
478,Dengue Fever,Dengue Fever: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #478),Severe
479,Dengue Fever,Dengue Fever: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #479),Moderate
480,Stress,"Stress: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #480)",Severe
481,Sinus Headache,Sinus Headache: Maintain a balanced diet; avoid known triggers and allergens. (tip #481),Moderate
482,Hepatitis,Hepatitis: Keep follow-up appointments and report new or worsening symptoms. (tip #482),Mild
483,Gastroenteritis,Gastroenteritis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #483),Moderate
484,Bronchiectasis,Bronchiectasis: Keep follow-up appointments and report new or worsening symptoms. (tip #484),Severe
485,Insomnia,Insomnia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #485),Mild
486,Mononucleosis,Mononucleosis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #486),Mild
487,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #487),Moderate
488,Heart Attack,Heart Attack: Avoid alcohol and smoking; adhere to medication schedule. (tip #488),Severe
489,Dengue Fever,Dengue Fever: Keep follow-up appointments and report new or worsening symptoms. (tip #489),Severe
490,Sinus Headache,Sinus Headache: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #490),Moderate
491,Hypothyroidism,Hypothyroidism: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #491),Moderate
492,Migraine,"Migraine: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #492)",Mild
493,Pneumonia,"Pneumonia: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #493)",Severe
494,Appendicitis,Appendicitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #494),Severe
495,Yeast Infection,Yeast Infection: Keep follow-up appointments and report new or worsening symptoms. (tip #495),Mild
496,Rhinitis,Rhinitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #496),Mild
497,Appendicitis,Appendicitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #497),Mild
498,Stress,Stress: Avoid alcohol and smoking; adhere to medication schedule. (tip #498),Moderate
499,Dengue Fever,Dengue Fever: Avoid alcohol and smoking; adhere to medication schedule. (tip #499),Severe
500,Tendonitis,Tendonitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #500),Moderate
